system:index,DEM,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SWIR,class,slope,year,LON,
0_109_0,2549,0.013646749,0.08895748,0.35941932,-0.45152575,642,0.039745,0.04297625,0.07344625,0.07159,0.2112625,0.18633375,0.13174625,0.18633375,0,5.23337,2013,-97.40491016,19.15311492
0_110_0,955,0.30446804,0.6241873,0.8362972,-0.7602118,2124,0.01921625,0.02055,0.0408725,0.02763125,0.30897,0.16983375,0.0741475,0.16983375,0,2.0981674,2013,-96.87184987,19.26199073
0_111_0,1162,0.36533636,0.6840955,0.871827,-0.7804547,2451,0.02385,0.020825,0.0355925,0.02033,0.2899675,0.135665,0.0560525,0.135665,0,6.0567575,2013,-96.98422911,19.3083438
0_112_0,2966,0.3474778,0.5873422,0.7591252,-0.72493905,1353,0.00873875,0.01115875,0.0282775,0.02647625,0.188685,0.0864125,0.0464825,0.0864125,0,11.672061,2013,-97.22354031,19.39997196
0_113_0,3014,0.020142421,0.10559915,0.34570545,-0.42350465,985,0.040625,0.05091,0.078685,0.0966425,0.2569675,0.214865,0.1743575,0.214865,0,8.760521,2013,-97.36556395,19.01944561
0_114_0,2779,0.15604632,0.39301226,0.56010085,-0.5295776,651,0.0168925,0.0195875,0.0326775,0.0288275,0.1573075,0.116745,0.0615525,0.116745,0,21.501055,2013,-97.42242731,19.14341311
0_115_0,1205,0.33315703,0.6436418,0.8627195,-0.7702723,2411,0.02166375,0.0207425,0.04055625,0.02501875,0.31332875,0.160855,0.07223625,0.160855,0,29.50584,2013,-96.840858,18.97336203
0_116_0,2401,-0.02795801,0.0853043,0.24022372,-0.32484087,982,0.0599575,0.0740925,0.1153975,0.13055,0.2034525,0.2057625,0.17147,0.2057625,0,3.831503,2013,-97.39736431,18.84616059
0_117_0,3085,0.20379612,0.46151382,0.7056993,-0.64146024,1353,0.01252,0.0198625,0.05053875,0.04151875,0.22944,0.15949375,0.08895625,0.15949375,0,11.181072,2013,-97.22515727,19.39377358
0_118_0,939,0.37968612,0.6977263,0.8612421,-0.7518664,2598,0.0291575,0.02572,0.041835,0.022255,0.3037725,0.1321175,0.05212,0.1321175,0,3.399877,2013,-97.01764644,18.89763405
0_119_0,915,0.34731132,0.6680499,0.8727724,-0.7855187,2411,0.0271225,0.023575,0.0393875,0.0215675,0.3205475,0.1547775,0.062735,0.1547775,0,10.376376,2013,-96.82873074,18.95907882
0_120_0,2869,0.08254314,0.34894207,0.5771111,-0.57901275,885,0.02572,0.0337225,0.057015,0.05727625,0.209035,0.182195,0.1032425,0.182195,0,4.8946786,2013,-97.38362009,19.06606817
0_121_0,2550,0.03152189,0.16407676,0.24633771,-0.31975618,820,0.04728,0.0551725,0.096395,0.1244175,0.18566,0.2092,0.16091,0.2092,0,8.808298,2013,-97.46419897,19.02591348
1_0_0,2529,-0.006271477,0.07906781,0.22619368,-0.31987742,1015,0.03315875,0.0459325,0.08034875,0.0871,0.14667875,0.14893375,0.1255175,0.14893375,0,1.3492877,2014,-97.36879789,18.89413062
1_1_0,1162,0.2703253,0.5687159,0.7694921,-0.67730886,1943,0.0269575,0.025775,0.0487925,0.035345,0.2398075,0.14111,0.0721125,0.14111,0,8.611153,2014,-97.04109247,18.91380373
1_2_0,733,0.17385802,0.41759816,0.66014135,-0.58790565,2160,0.0259675,0.030505,0.0550625,0.0454925,0.219925,0.15673,0.08545,0.15673,0,4.3280954,2014,-96.93706756,18.82190607
1_3_0,588,0.21246456,0.46021783,0.62126714,-0.5413934,2473,0.03263625,0.03890625,0.07025625,0.0585275,0.27323375,0.17015,0.09324625,0.17015,0,1.3492192,2014,-96.83304265,18.87796095
1_4_0,1308,0.17692688,0.41277692,0.6430592,-0.5798445,2093,0.03661,0.0412575,0.0710125,0.0647975,0.2917825,0.1875025,0.109155,0.1875025,0,3.0811348,2014,-97.08582857,18.91730716
1_5_0,2413,0.16710332,0.43070832,0.6763538,-0.6768745,1630,0.01527,0.0264625,0.0559975,0.0526425,0.2812775,0.199905,0.113225,0.199905,0,12.036443,2014,-97.14808182,19.38595824
