index,clase,DEM,ENTIDAD,year,FUENTE_INF,LATITUD,LONGITUD,LAT,LON,LITOLOGIA,MUNICIPIO,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SWIR,TIPO,slope
1_000000000000000002cc,1,2130,Puebla,2015,Campo_2015,19 9 55.651,-97 6 3.567,19.165459,-97.100991,Andesita-Dacita,Chichiquila,0.1324469450,0.3724295200,0.577429354,-0.598993361,1854,0.02805750,0.03271875,0.05863750,0.05808750,0.23929875,0.10749125,0.18076500,Flujo,9.370465781
1_000000000000000002d1,1,2555,Puebla,2015,Campo_2015,19 14 12.564,-97 11 21.094,19.236823,-97.186415,Andesita-Dacita,Chilchotla,0.2064229850,0.4366634190,0.608912408,-0.596471369,874,0.02826375,0.03564750,0.06607625,0.06302375,0.26662000,0.10283000,0.17507250,Flujo,24.24919772
1_000000000000000002d5,1,2073,Puebla,2015,Campo_2015,19 9 48.437,-97 4 45.930,19.163455,-97.079425,Toba andestica,Chichiquila,0.2822880150,0.5319324730,0.665045977,-0.645432889,1948,0.02423500,0.02698500,0.05973750,0.05162500,0.27500750,0.08514750,0.15810500,Flujo,15.83341001
1_000000000000000002d9,1,2178,Puebla,2015,Campo_2015,19 11 7.601,-97 7 20.782,19.185447,-97.122439,Andesita-Dacita,Chichiquila,0.2356284410,0.5003294940,0.645736694,-0.613693357,1678,0.03300750,0.03988250,0.06796000,0.06378000,0.30495500,0.10087750,0.18439500,Flujo,31.27746819
1_000000000000000002da,1,1871,Puebla,2015,Campo_2015,19 11 36.439,-97 4 30.575,19.193236,-97.075158,Lahar,Chichiquila,0.2946898040,0.5603824260,0.740669549,-0.698372304,2127,0.01738750,0.02176000,0.04791250,0.03853500,0.26337500,0.07621000,0.14751750,Flujo,27.0009397
1_000000000000000002dc,1,2548,Puebla,2015,Campo_2015,19 12 22.075,-97 10 20.925,19.206121,-97.169146,Andesita-Dacita,Chilchotla,0.2953291240,0.5845111610,0.806869149,-0.762043715,962,0.01796500,0.02118250,0.04222000,0.03102750,0.31163750,0.07783250,0.16907750,Flujo,25.84993781
1_000000000000000002de,1,2503,Puebla,2015,Campo_2015,19 16 25.410,-97 12 6.588,19.273836,-97.201827,Toba rioltica,Chilchotla,0.3137790560,0.5333552360,0.675574064,-0.669570029,832,0.01780000,0.02277750,0.05231250,0.04601500,0.23615000,0.08315375,0.13830500,Flujo,22.03289701
1_000000000000000002df,1,1572,Puebla,2015,Campo_2015,19 17 6.928,-97 7 14.537,19.285813,-97.120982,Toba rioltica,Quimixtln,0.1725174340,0.4189803300,0.555147290,-0.538808286,2043,0.03563375,0.04271500,0.06892250,0.06503125,0.22636000,0.09123875,0.15701875,Flujo,21.10094478
1_000000000000000002eb,1,2708,Puebla,2015,Campo_2015,19 13 11.367,-97 20 28.053,19.219985,-97.341126,Pumicita,Lafragua,-0.0262596250,0.1157829760,0.218267888,-0.295370549,673,0.09493750,0.12210750,0.17677750,0.20540500,0.33908250,0.24247500,0.33179500,Flujo,8.086610383
1_00000000000000000001,1,1024,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 20.664,-97 2 22.338,19.322407,-97.039538,Toba andestica,Ixhuacn de los Reyes,0.1668178440,0.3341121380,0.591446698,-0.570000648,1842,0.04120250,0.05088250,0.08459750,0.07761250,0.30872250,0.15461250,0.22424250,Flujo,7.094144841
1_00000000000000000002,1,1708,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 48 24.221,-97 16 9.266,18.806728,-97.269241,Aluvial,Maltrata,0.0988192260,0.1952628490,0.461846560,-0.458737224,798,0.04244000,0.05566750,0.10245875,0.10284375,0.26649625,0.17736875,0.22636000,Flujo,0.927409937
